Axle Number,Wheel Number,Timestamp,Wheel Angle,
1,1,11.4501,33.25,
1,1,11.4703,33.25,
1,1,11.4905,33.25,
1,1,11.511,33.25,
1,1,11.5316,33.25,
1,1,11.5511,33.25,
1,1,11.5715,33.25,
1,1,11.5916,33.25,
1,1,11.6124,33.25,
1,1,11.632,33.25,
1,1,11.6522,33.25,
1,1,11.6727,33.25,
1,1,11.6937,33.25,
1,1,11.714,33.25,
1,1,11.7337,33.25,
1,1,11.754,33.25,
1,1,11.7747,33.25,
1,1,11.7949,33.25,
1,1,11.8151,33.25,
1,1,11.8354,33.25,
1,1,11.8555,33.25,
1,1,11.8761,33.25,
1,1,11.8958,33.25,
1,1,11.9172,33.25,
1,1,11.9361,33.25,
1,1,11.9569,33.25,
1,1,11.9771,33.25,
1,1,11.9976,33.25,
1,1,12.0175,33.25,
1,1,12.0385,33.25,
1,1,12.0585,33.25,
1,1,12.0784,33.25,
1,1,12.0984,33.25,
1,1,12.1184,33.25,
1,1,12.1386,33.25,
1,1,12.1591,33.25,
1,1,12.179,33.25,
1,1,12.1992,33.25,
1,1,12.2194,33.25,
1,1,12.2396,33.25,
1,1,12.2607,33.25,
1,1,12.28,33.25,
1,1,12.3002,33.25,
1,1,12.3204,33.25,
1,1,12.341,33.25,
1,1,12.361,33.25,
1,1,12.3811,33.25,
1,1,12.4013,33.25,
1,1,12.4215,33.25,
1,1,12.4421,33.25,
1,1,12.4625,33.25,
1,1,12.4827,33.25,
1,1,12.5032,33.25,
1,1,12.5236,33.25,
1,1,12.544,33.25,
1,1,12.5637,33.25,
1,1,12.5837,33.25,
1,1,12.6039,33.25,
1,1,12.6246,33.25,
1,1,12.6449,33.25,
1,1,12.665,33.25,
1,1,12.6876,33.25,
1,1,12.7078,33.25,
1,1,12.7281,33.25,
1,1,12.7483,33.25,
1,1,12.7685,33.25,
1,1,12.7887,33.25,
1,1,12.8095,33.25,
1,1,12.8291,33.25,
1,1,12.8497,33.25,
1,1,12.8706,33.25,
1,1,12.8915,33.25,
1,1,12.9115,33.25,
1,1,12.9315,33.25,
1,1,12.9518,33.25,
1,1,12.9724,33.25,
1,1,12.9917,33.25,
1,1,13.012,33.25,
1,1,13.0323,33.25,
1,1,13.0527,33.25,
1,1,13.0729,33.25,
1,1,13.093,33.25,
1,1,13.1132,33.25,
1,1,13.1335,33.25,
1,1,13.1538,33.25,
1,1,13.1741,33.25,
1,1,13.1943,33.25,
1,1,13.2145,33.25,
1,1,13.2347,33.25,
1,1,13.2549,33.25,
1,1,13.2756,33.25,
1,1,13.2961,33.25,
1,1,13.3155,33.25,
1,1,13.3358,33.25,
1,1,13.356,33.25,
1,1,13.3768,33.25,
1,1,13.3968,33.25,
1,1,13.4172,33.25,
1,1,13.4372,33.25,
1,1,13.4573,33.25,
1,1,13.4777,33.25,
1,1,13.4982,33.25,
1,1,13.5188,33.25,
1,1,13.5387,33.25,
1,1,13.5589,33.25,
1,1,13.5791,33.25,
1,1,13.5993,33.25,
1,1,13.6197,33.25,
1,1,13.64,33.25,
1,1,13.6598,33.25,
1,1,13.6797,33.25,
1,1,13.7001,33.25,
1,1,13.7203,33.25,
1,1,13.7405,33.25,
1,1,13.7616,33.25,
1,1,13.781,33.25,
1,1,13.8012,33.25,
1,1,13.8216,33.25,
1,1,13.8418,33.25,
1,1,13.8622,33.25,
1,1,13.8822,33.25,
1,1,13.9024,33.25,
1,1,13.9228,33.25,
1,1,13.9431,33.25,
1,1,13.9632,33.25,
1,1,13.9835,33.25,
1,1,14.0036,33.25,
1,1,14.0238,32.8984,
1,1,14.044,32.8984,
1,1,14.0644,32.8984,
1,1,14.0846,32.8984,
1,1,14.1048,32.8984,
1,1,14.125,32.5469,
1,1,14.146,32.5469,
1,1,14.1664,32.5469,
1,1,14.1861,32.5469,
1,1,14.2063,32.5469,
1,1,14.2265,31.8477,
1,1,14.2473,31.8477,
1,1,14.267,31.8477,
1,1,14.2871,31.8477,
1,1,14.307,31.8477,
1,1,14.3277,30.7969,
1,1,14.3479,30.7969,
1,1,14.368,30.7969,
1,1,14.3882,30.7969,
1,1,14.4084,30.7969,
1,1,14.4286,30.0977,
1,1,14.4488,30.0977,
1,1,14.469,30.0977,
1,1,14.4892,30.0977,
1,1,14.5096,30.0977,
1,1,14.5297,29.3984,
1,1,14.5502,29.3984,
1,1,14.5702,29.3984,
1,1,14.5903,29.3984,
1,1,14.6105,29.3984,
1,1,14.631,28.6992,
1,1,14.651,28.6992,
1,1,14.6716,28.6992,
1,1,14.6927,28.6992,
1,1,14.713,28.6992,
1,1,14.7336,28.3477,
1,1,14.7542,28.3477,
1,1,14.7741,28.3477,
1,1,14.7948,28.3477,
1,1,14.8145,28.3477,
1,1,14.8347,27.2969,
1,1,14.8548,27.2969,
1,1,14.8747,27.2969,
1,1,14.8948,27.2969,
1,1,14.915,27.2969,
1,1,14.9352,26.25,
1,1,14.9554,26.25,
1,1,14.9761,26.25,
1,1,14.9962,26.25,
1,1,15.0172,26.25,
1,1,15.0378,24.8477,
1,1,15.0578,24.8477,
1,1,15.0778,24.8477,
1,1,15.0984,24.8477,
